height;avgdepth
72;0,259779
147;0,553939
71;0,000000
231;0,575112
60;0,056412
202;0,000000
154;0,800352
198;0,075578
248;0,524886
44;0,000000
74;0,541194
221;0,519656
86;0,393273
47;0,000000
158;0,700156
36;0,000000
145;0,795271
47;0,000000
189;0,702604
279;0,738053
42;0,000000
195;0,802112
205;0,519067
81;0,634941
57;0,866391
105;0,000000
126;0,826371
53;0,000000
107;0,570914
253;0,526822
50;0,884985
95;0,812848
194;0,552843
102;0,827462
88;0,813821
231;0,321745
66;0,882359
222;0,747985
123;0,710752
68;0,577128
125;0,179637
165;0,604384
134;0,961636
110;0,226915
253;0,326094
229;0,352704
53;0,039689
118;0,520757
63;0,902816
113;0,606553
157;0,837960
269;0,275391
240;0,374131
270;0,605651
263;0,518219
148;0,764755
258;0,691265
147;0,798443
72;0,857719
257;0,622974
229;0,379661
72;0,868454
77;0,779681
213;0,252462
282;0,465775
187;0,114151
136;0,864650
271;0,529024
122;0,596850
97;0,893142
182;0,780918
38;0,947097
117;0,942079
139;0,711546
89;0,727369
109;0,013152
214;0,445037
165;0,253956
112;0,852244
212;0,863268
253;0,378831
53;0,757000
186;0,838031
286;0,357088
149;0,000000
283;0,432882
109;0,890500
239;0,573763
71;0,000000
125;0,523489
157;0,060570
189;0,856367
60;0,195542
274;0,417688
248;0,487738
172;0,074214
111;0,045448
32;0,871756
128;0,073611
33;0,000000
235;0,495951
50;0,734890
83;0,247661
284;0,757419
47;0,000000
225;0,603090
207;0,308194
263;0,587570
168;0,757200
209;0,720681
192;0,612556
201;0,189390
121;0,730207
255;0,462099
240;0,765870
218;0,330467
212;0,844430
83;0,842720
206;0,412480
180;0,097108
185;0,691909
171;0,643186
51;0,859731
132;0,228688
104;0,461696
181;0,879353
137;0,000000
259;0,292024
242;0,683468
128;0,396457
180;0,608945
122;0,553796
208;0,849455
138;0,498543
279;0,498820
91;0,436785
171;0,530577
126;0,370480
103;0,641236
270;0,316861
209;0,675557
106;0,874694
111;0,871364
261;0,637337
42;0,851278
251;0,360854
